#=====================================================
# File created:        Sun-26-Oct-2025-at-07-08-21PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.709242
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00501    0.4025   -1266.0434  0.7927 
   00502    0.3950   -1266.9155  0.7898 
   00503    0.4125   -1268.5656  0.7773 
   00504    0.3800   -1269.0036  0.7657 
   00505    0.3875   -1264.5156  0.7680 
   00506    0.3600   -1266.0916  0.7778 
   00507    0.3925   -1278.1469  0.7722 
   00508    0.3675   -1266.1826  0.7723 
   00509    0.4025   -1286.0541  0.7800 
   00510    0.3900   -1285.7202  0.7929 
   00511    0.3750   -1273.4932  0.7851 
   00512    0.3975   -1309.0282  0.7893 
   00513    0.4150   -1319.4126  0.7854 
   00514    0.4350   -1301.1046  0.7826 
   00515    0.3725   -1300.2743  0.7816 
   00516    0.4050   -1258.1794  0.7559 
   00517    0.3975   -1221.4666  0.7344 
   00518    0.3875   -1234.3730  0.7529 
   00519    0.4650   -1243.8024  0.7516 
   00520    0.4150   -1239.7769  0.7443 
   00521    0.4125   -1222.4827  0.7276 
   00522    0.3925   -1203.9220  0.7134 
   00523    0.4400   -1219.0167  0.7137 
   00524    0.4425   -1244.6589  0.7255 
   00525    0.4050   -1248.5104  0.7378 
   00526    0.4225   -1257.4462  0.7366 
   00527    0.4375   -1290.0819  0.7564 
   00528    0.4025   -1297.4110  0.7662 
   00529    0.4175   -1284.1558  0.7672 
   00530    0.3775   -1298.2396  0.7702 
   00531    0.3900   -1310.0493  0.7793 
   00532    0.3925   -1302.6713  0.7877 
   00533    0.3825   -1301.5839  0.7704 
   00534    0.4000   -1296.0739  0.7733 
   00535    0.4300   -1319.2072  0.7738 
   00536    0.3925   -1304.9044  0.7578 
   00537    0.3750   -1302.5083  0.7538 
   00538    0.4200   -1303.8916  0.7702 
   00539    0.4425   -1313.1082  0.7779 
   00540    0.4175   -1331.0133  0.7748 
   00541    0.4150   -1308.5385  0.7593 
   00542    0.4150   -1299.8733  0.7635 
   00543    0.4250   -1300.2690  0.7721 
   00544    0.3675   -1308.5809  0.7700 
   00545    0.4250   -1293.1067  0.7757 
   00546    0.4100   -1300.9961  0.7807 
   00547    0.3700   -1308.7049  0.7779 
   00548    0.3875   -1298.0542  0.7664 
   00549    0.4050   -1283.6359  0.7719 
   00550    0.3950   -1301.2164  0.7827 
   00551    0.4225   -1321.6328  0.7876 
   00552    0.4250   -1326.5803  0.7878 
   00553    0.3850   -1341.2592  0.7978 
   00554    0.3925   -1334.6338  0.7955 
   00555    0.3775   -1333.5483  0.7834 
   00556    0.3875   -1337.0700  0.7837 
   00557    0.4025   -1338.4051  0.7901 
   00558    0.3650   -1332.4486  0.7858 
   00559    0.3900   -1303.9088  0.7709 
   00560    0.4350   -1287.0112  0.7487 
   00561    0.4375   -1301.8669  0.7416 
   00562    0.3775   -1300.7069  0.7567 
   00563    0.4150   -1275.2201  0.7394 
   00564    0.4100   -1263.0860  0.7322 
   00565    0.3775   -1301.4578  0.7559 
   00566    0.3700   -1279.0782  0.7506 
   00567    0.4050   -1281.2714  0.7575 
   00568    0.3725   -1287.5276  0.7626 
   00569    0.4000   -1303.1668  0.7675 
   00570    0.3725   -1338.2856  0.7914 
   00571    0.4125   -1330.3597  0.7969 
   00572    0.4250   -1328.9074  0.8038 
   00573    0.4100   -1331.2708  0.8052 
   00574    0.3950   -1314.7897  0.8004 
   00575    0.4400   -1305.7268  0.7891 
   00576    0.3675   -1314.4840  0.7982 
   00577    0.4225   -1316.7846  0.7957 
   00578    0.3800   -1303.2916  0.7976 
   00579    0.3475   -1311.5703  0.7982 
   00580    0.3825   -1297.9320  0.8057 
   00581    0.3975   -1287.8604  0.8043 
   00582    0.4000   -1261.8279  0.8018 
   00583    0.3675   -1284.7748  0.8005 
   00584    0.3975   -1291.0872  0.8073 
   00585    0.4525   -1300.4082  0.8126 
   00586    0.3975   -1303.3265  0.8220 
   00587    0.4300   -1309.0123  0.8297 
   00588    0.4000   -1310.9133  0.8425 
   00589    0.4200   -1294.3735  0.8269 
   00590    0.3950   -1284.7568  0.8417 
   00591    0.4100   -1306.3643  0.8523 
   00592    0.4375   -1312.1423  0.8524 
   00593    0.4150   -1315.9254  0.8534 
   00594    0.4175   -1306.1669  0.8538 
   00595    0.3775   -1334.5318  0.8599 
   00596    0.3675   -1328.2880  0.8609 
   00597    0.4200   -1323.3020  0.8537 
   00598    0.3675   -1299.7868  0.8450 
   00599    0.4100   -1295.8103  0.8437 
   00600    0.4025   -1302.7285  0.8544 
   00601    0.4000   -1295.4538  0.8483 
   00602    0.4150   -1282.1230  0.8355 
   00603    0.4050   -1305.9973  0.8562 
   00604    0.4100   -1298.3763  0.8425 
   00605    0.3825   -1284.4536  0.8304 
   00606    0.3875   -1330.4318  0.8422 
   00607    0.3575   -1313.2362  0.8308 
   00608    0.3975   -1337.0070  0.8338 
   00609    0.3775   -1314.8780  0.8111 
   00610    0.4025   -1328.5863  0.8152 
   00611    0.4075   -1343.8765  0.8263 
   00612    0.4200   -1332.8603  0.8105 
   00613    0.3625   -1325.9370  0.8100 
