#=====================================================
# File created:        Mon-03-Nov-2025-at-09-12-19PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        2.579831
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00401    0.2025   -1276.9502  0.7820 
   00402    0.1850   -1261.3362  0.7653 
   00403    0.2300   -1290.9992  0.7729 
   00404    0.1850   -1295.8154  0.7670 
   00405    0.2062   -1262.4850  0.7689 
   00406    0.2087   -1284.4281  0.7754 
   00407    0.2275   -1254.4442  0.7647 
   00408    0.2250   -1258.4577  0.7730 
   00409    0.1812   -1273.7661  0.7662 
   00410    0.2087   -1276.2842  0.7687 
   00411    0.1950   -1309.7670  0.7906 
   00412    0.1850   -1307.1368  0.7859 
   00413    0.2200   -1285.8725  0.7919 
   00414    0.1975   -1250.1194  0.7537 
   00415    0.2025   -1267.3109  0.7539 
   00416    0.2075   -1259.0514  0.7464 
   00417    0.1938   -1269.0150  0.7546 
   00418    0.2075   -1242.8951  0.7578 
   00419    0.1987   -1265.7191  0.7649 
   00420    0.1875   -1246.1105  0.7492 
   00421    0.1963   -1266.8004  0.7494 
   00422    0.1738   -1288.0786  0.7538 
   00423    0.2025   -1308.4277  0.7549 
   00424    0.2162   -1287.8144  0.7544 
   00425    0.2025   -1295.6042  0.7601 
   00426    0.1888   -1285.5033  0.7507 
   00427    0.1862   -1285.5887  0.7495 
   00428    0.1887   -1277.3920  0.7512 
   00429    0.1962   -1265.8075  0.7525 
   00430    0.1987   -1283.0087  0.7682 
   00431    0.1850   -1263.1179  0.7766 
   00432    0.1913   -1280.8551  0.7846 
   00433    0.2125   -1285.1248  0.7828 
   00434    0.2025   -1278.4266  0.7722 
   00435    0.1912   -1306.4020  0.7840 
   00436    0.2050   -1305.2905  0.7827 
   00437    0.1825   -1288.1337  0.7746 
   00438    0.2037   -1287.9657  0.7784 
   00439    0.2025   -1256.9896  0.7654 
   00440    0.2075   -1258.7435  0.7658 
   00441    0.1963   -1295.3639  0.7671 
   00442    0.1937   -1303.0616  0.7732 
   00443    0.1938   -1320.6430  0.7963 
   00444    0.2112   -1312.1335  0.7934 
   00445    0.2050   -1300.7436  0.7628 
   00446    0.2012   -1268.3268  0.7482 
   00447    0.1988   -1265.3818  0.7465 
   00448    0.2100   -1264.6970  0.7407 
   00449    0.2375   -1265.1174  0.7254 
   00450    0.2087   -1276.4592  0.7381 
   00451    0.2000   -1253.8900  0.7271 
   00452    0.2100   -1240.2476  0.7167 
   00453    0.2000   -1255.8046  0.7263 
   00454    0.1975   -1266.6131  0.7423 
   00455    0.1987   -1219.4002  0.7381 
   00456    0.2012   -1226.3272  0.7373 
   00457    0.1975   -1251.3383  0.7570 
   00458    0.1812   -1266.3834  0.7751 
   00459    0.2075   -1291.2981  0.7745 
   00460    0.1888   -1306.4206  0.7789 
   00461    0.1862   -1335.4644  0.7984 
   00462    0.1825   -1321.6189  0.7875 
   00463    0.2037   -1323.8716  0.7842 
   00464    0.2112   -1304.3070  0.7648 
   00465    0.1825   -1298.7085  0.7589 
   00466    0.2112   -1301.3803  0.7451 
   00467    0.1988   -1282.7402  0.7448 
   00468    0.1837   -1252.0886  0.7396 
   00469    0.1962   -1263.2326  0.7365 
   00470    0.2137   -1283.7592  0.7507 
   00471    0.2125   -1287.6222  0.7471 
   00472    0.1913   -1252.8267  0.7424 
   00473    0.1975   -1272.6354  0.7365 
   00474    0.2062   -1285.8860  0.7375 
   00475    0.2188   -1299.3612  0.7547 
   00476    0.2012   -1295.9811  0.7649 
   00477    0.1825   -1292.5480  0.7602 
   00478    0.1875   -1285.7325  0.7526 
   00479    0.1862   -1306.4978  0.7654 
   00480    0.2062   -1321.4660  0.7770 
   00481    0.2087   -1323.8961  0.7824 
   00482    0.2037   -1309.0559  0.7800 
   00483    0.1862   -1346.2791  0.8016 
   00484    0.1925   -1328.0212  0.8039 
   00485    0.1787   -1334.2868  0.8132 
   00486    0.1888   -1314.6523  0.8059 
   00487    0.1837   -1301.8171  0.8088 
   00488    0.2162   -1335.8760  0.8172 
   00489    0.1850   -1311.5518  0.8067 
   00490    0.2075   -1311.1612  0.7975 
   00491    0.2025   -1312.9095  0.7969 
   00492    0.1925   -1298.0007  0.8013 
   00493    0.2025   -1295.6010  0.7840 
   00494    0.1925   -1294.4742  0.7772 
   00495    0.1813   -1323.0298  0.7934 
   00496    0.1888   -1320.7894  0.7886 
   00497    0.1788   -1334.1361  0.7962 
   00498    0.1925   -1318.4471  0.7968 
   00499    0.2050   -1324.0512  0.7939 
   00500    0.1713   -1356.6850  0.8006 
   00501    0.1913   -1338.4214  0.7808 
   00502    0.1875   -1326.1187  0.7622 
   00503    0.2025   -1314.8386  0.7597 
   00504    0.1900   -1270.1020  0.7552 
   00505    0.2025   -1302.0432  0.7806 
   00506    0.1900   -1301.0586  0.7538 
   00507    0.1950   -1291.7051  0.7495 
   00508    0.2012   -1298.5236  0.7527 
   00509    0.2050   -1287.0406  0.7353 
   00510    0.1963   -1273.1253  0.7300 
   00511    0.2137   -1264.5024  0.7188 
   00512    0.1862   -1296.6817  0.7378 
   00513    0.1987   -1303.4242  0.7535 
   00514    0.2037   -1296.5361  0.7381 
   00515    0.2175   -1283.1767  0.7331 
   00516    0.2025   -1271.6000  0.7233 
   00517    0.1975   -1269.6323  0.7212 
   00518    0.1913   -1275.7081  0.7111 
   00519    0.1925   -1275.7042  0.7100 
   00520    0.1900   -1265.7848  0.7140 
   00521    0.1888   -1276.1985  0.7133 
   00522    0.2188   -1264.3772  0.6800 
   00523    0.1925   -1249.7988  0.6947 
   00524    0.2012   -1250.5637  0.6896 
   00525    0.1963   -1251.3153  0.7083 
   00526    0.2050   -1241.3588  0.7120 
   00527    0.2000   -1270.7487  0.7288 
   00528    0.2100   -1289.3284  0.7368 
   00529    0.1850   -1289.3528  0.7414 
   00530    0.1912   -1274.5965  0.7429 
   00531    0.2137   -1293.6281  0.7593 
   00532    0.2213   -1308.9470  0.7485 
   00533    0.2000   -1290.1957  0.7353 
   00534    0.2075   -1275.9787  0.7486 
   00535    0.1875   -1278.1206  0.7653 
   00536    0.2137   -1289.7446  0.7770 
   00537    0.2025   -1296.9614  0.7798 
   00538    0.1875   -1316.7957  0.8002 
   00539    0.2012   -1312.7960  0.8072 
   00540    0.1913   -1325.4379  0.7985 
   00541    0.1875   -1312.5627  0.7854 
   00542    0.1812   -1327.3883  0.7949 
   00543    0.2000   -1317.3192  0.7914 
   00544    0.2075   -1323.6116  0.7823 
   00545    0.2012   -1323.4572  0.7910 
   00546    0.2150   -1329.9378  0.7980 
   00547    0.1975   -1329.1122  0.8026 
   00548    0.1875   -1306.7816  0.7832 
   00549    0.1938   -1280.4638  0.7640 
   00550    0.2025   -1278.6019  0.7685 
   00551    0.1862   -1286.9881  0.7760 
   00552    0.2037   -1271.8027  0.7848 
   00553    0.1862   -1283.7170  0.7823 
   00554    0.1975   -1275.3154  0.7906 
   00555    0.2087   -1285.9167  0.7874 
   00556    0.2087   -1323.8042  0.8048 
   00557    0.1900   -1308.4847  0.8079 
   00558    0.2100   -1279.6279  0.7891 
   00559    0.1837   -1279.3824  0.7831 
   00560    0.1825   -1266.2378  0.7775 
   00561    0.1988   -1285.5760  0.7854 
   00562    0.2000   -1310.3995  0.8112 
   00563    0.1938   -1325.8292  0.8144 
   00564    0.1888   -1323.0545  0.8120 
   00565    0.1888   -1334.5114  0.8027 
   00566    0.1763   -1326.6275  0.8061 
   00567    0.1763   -1340.5785  0.8144 
   00568    0.1863   -1317.7708  0.8024 
   00569    0.2100   -1308.7100  0.8097 
   00570    0.2150   -1292.5784  0.7883 
   00571    0.1975   -1308.4366  0.7971 
   00572    0.1812   -1297.1942  0.7950 
   00573    0.2012   -1269.4444  0.7910 
   00574    0.2012   -1292.1734  0.8106 
   00575    0.2388   -1292.8133  0.8120 
